"filename", "language", "PHP", "JSON", "JavaScript", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\diff\diff.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 2, 11, 48
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\django\django.js", "JavaScript", 0, 0, 266, 0, 0, 0, 0, 45, 46, 357
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\dockerfile\dockerfile.js", "JavaScript", 0, 0, 193, 0, 0, 0, 0, 10, 9, 212
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\dtd\dtd.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 9, 18, 143
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\dylan\dylan.js", "JavaScript", 0, 0, 276, 0, 0, 0, 0, 44, 33, 353
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\ebnf\ebnf.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 9, 16, 196
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\ecl\ecl.js", "JavaScript", 0, 0, 184, 0, 0, 0, 0, 3, 20, 207
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\eiffel\eiffel.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 52, 4, 161
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\elm\elm.js", "JavaScript", 0, 0, 215, 0, 0, 0, 0, 2, 27, 244
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\erlang\erlang.js", "JavaScript", 0, 0, 471, 0, 0, 0, 0, 63, 86, 620
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\factor\factor.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 23, 5, 86
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\fcl\fcl.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 3, 28, 174
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\forth\forth.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 12, 14, 181
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\fortran\fortran.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 3, 15, 189
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\gas\gas.js", "JavaScript", 0, 0, 288, 0, 0, 0, 0, 17, 41, 346
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\gfm\gfm.js", "JavaScript", 0, 0, 107, 0, 0, 0, 0, 15, 8, 130
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\gherkin\gherkin.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 30, 25, 179
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\go\go.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 3, 19, 188
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\groovy\groovy.js", "JavaScript", 0, 0, 212, 0, 0, 0, 0, 5, 17, 234
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\haml\haml.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 13, 16, 162
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\handlebars\handlebars.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 8, 11, 71
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\haskell-literate\haskell-literate.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 2, 5, 44
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\haskell\haskell.js", "JavaScript", 0, 0, 231, 0, 0, 0, 0, 3, 35, 269
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\haxe\haxe.js", "JavaScript", 0, 0, 450, 0, 0, 0, 0, 13, 53, 516
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\htmlembedded\htmlembedded.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 2, 4, 38
"c:\xampp\htdocs\pp\assets\plugins\codemirror\mode\htmlmixed\htmlmixed.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 2, 18, 153
